 ,Hôm nay,Ngày mai,Ngày kia
 
Sơn La,26oC - 35oC,25oC - 29oC,25oC - 28oC
 ,"Ít mây, trời nắng nóng","Nhiều mây, có mưa vừa","Nhiều mây, có mưa vừa"
 
Việt Trì,19oC - 25oC,20oC - 27oC,20oC - 29oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Pleicu,24oC - 29oC,26oC - 28oC,25oC - 32oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
An Giang,24oC - 34oC,21oC - 30oC,22oC - 31oC
 ,"Có mây, không mưa","Nhiều mây, có mưa, mưa rào","Nhiều mây, có mưa, mưa rào"
 
Bắc cạn,26oC - 35oC,25oC - 31oC,24oC - 31oC
 ,"Ít mây, trời nắng nóng","Nhiều mây, có mưa to","Nhiều mây, có mưa to"
 
Bắc Giang,24oC - 29oC,24oC - 28oC,24oC - 30oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Bạc Liêu,26oC - 35oC,25oC - 31oC,25oC - 31oC
 ,"Có mây, không mưa","Nhiều mây, có mưa to","Nhiều mây, có mưa to"
 
Bắc Ninh,24oC - 28oC,23oC - 30oC,23oC - 33oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Bến Tre,25oC - 31oC,26oC - 31oC,25oC - 32oC
 ,"Có mây, có mưa rào và dông ","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào "
 
Bình Định,23oC - 29oC,24oC - 30oC,26oC - 33oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Bình Phước,24oC - 29oC,23oC - 30oC,23oC - 31oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Cà Mau,23oC - 34oC,22oC - 32oC,23oC - 31oC
 ,"Có mây, không mưa","Nhiều mây, có mưa, mưa rào","Nhiều mây, có mưa vừa"
 
Cao Bằng,17oC - 26oC,18oC - 28oC,17oC - 28oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Đà Lạt,21oC - 27oC,21oC - 28oC,21oC - 30oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Đắk Lắk,20oC - 27oC,20oC - 29oC,21oC - 30oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Đắk Nông,25oC - 30oC,25oC - 30oC,25oC - 33oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Đồng Nai,23oC - 28oC,24oC - 29oC,24oC - 33oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Đồng Tháp,25oC - 33oC,25oC - 27oC,23oC - 28oC
 ,"Có mây, không mưa","Nhiều mây, có mưa vừa","Nhiều mây, có mưa vừa"
 
Hà Tĩnh,27oC - 34oC,25oC - 30oC,24oC - 31oC
 ,"Có mây, không mưa","Nhiều mây, có mưa to","Nhiều mây, có mưa to"
 
Hải Dương,24oC - 30oC,25oC - 28oC,25oC - 31oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Hậu Giang,26oC - 35oC,25oC - 30oC,26oC - 30oC
 ,"Ít mây, trời nắng nóng","Nhiều mây, có mưa to","Nhiều mây, có mưa to"
 
Hưng Yên,24oC - 28oC,24oC - 29oC,25oC - 31oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Kiên Giang,22oC - 28oC,21oC - 28oC,21oC - 30oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Kon Tum,23oC - 33oC,22oC - 32oC,22oC - 30oC
 ,"Có mây, không mưa","Nhiều mây, có mưa vừa","Nhiều mây, có mưa vừa"
 
Lạng Sơn,24oC - 28oC,24oC - 30oC,24oC - 30oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Long An,27oC - 35oC,25oC - 29oC,25oC - 31oC
 ,"Ít mây, trời nắng nóng","Nhiều mây, có mưa to","Nhiều mây, có mưa to"
 
Nam Định,28oC - 34oC,25oC - 29oC,26oC - 30oC
 ,"Có mây, không mưa","Nhiều mây, có mưa to","Nhiều mây, có mưa to"
 
Ninh Bình,24oC - 32oC,25oC - 30oC,24oC - 32oC
 ,"Có mây, có mưa rào và dông ","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào "
 
Ninh Thuận,26oC - 35oC,25oC - 29oC,26oC - 30oC
 ,"Ít mây, trời nắng nóng","Nhiều mây, có mưa to","Nhiều mây, có mưa to"
 
Phủ Lý,25oC - 32oC,25oC - 30oC,24oC - 32oC
 ,"Có mây, có mưa rào và dông ","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Phú Yên,25oC - 33oC,24oC - 30oC,22oC - 30oC
 ,"Có mây, có mưa rào và dông ","Nhiều mây, có mưa vừa","Nhiều mây, có mưa vừa"
 
Quảng Bình,24oC - 32oC,25oC - 30oC,24oC - 31oC
 ,"Có mây, có mưa rào và dông ","Nhiều mây, có mưa vừa","Có mây, có mưa rào "
 
Quảng Nam,25oC - 33oC,25oC - 31oC,24oC - 32oC
 ,"Có mây, có mưa rào và dông ","Nhiều mây, có mưa vừa","Có mây, có mưa rào và dông "
 
Quảng Ngãi,25oC - 32oC,24oC - 31oC,25oC - 30oC
 ,"Có mây, có mưa rào và dông ","Nhiều mây, có mưa vừa","Nhiều mây, có mưa, mưa rào"
 
Quảng Trị,23oC - 28oC,26oC - 29oC,25oC - 30oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Sóc Trăng,24oC - 30oC,23oC - 31oC,23oC - 32oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Tây Ninh,26oC - 33oC,25oC - 29oC,25oC - 30oC
 ,"Có mây, không mưa","Nhiều mây, có mưa to","Nhiều mây, có mưa to"
 
Thái Bình,27oC - 33oC,24oC - 28oC,24oC - 30oC
 ,"Có mây, có mưa rào và dông ","Nhiều mây, có mưa to","Nhiều mây, có mưa vừa"
 
Thanh Hóa,24oC - 33oC,24oC - 30oC,24oC - 31oC
 ,"Có mây, có mưa rào và dông ","Nhiều mây, có mưa vừa","Nhiều mây, có mưa, mưa rào"
 
Huế,23oC - 28oC,24oC - 30oC,24oC - 32oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Tiền Giang,24oC - 28oC,23oC - 29oC,23oC - 33oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Vĩnh Long,24oC - 28oC,24oC - 29oC,24oC - 30oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
Vũng Tàu,24oC - 28oC,24oC - 29oC,24oC - 30oC
 ,"Nhiều mây, có mưa dông","Có mây, ngày có mưa rào và dông ","Có mây, có mưa rào và dông "
 
